Tipo_Prenda,Genero,Color,Estilo,Marca,Precio,Talla,Cantidad_Lavados,Edad,Profesion,Genero_Incluyente,Calidad
Chaqueta,Caballero,Negro,Formal,Marca A,508.42,45,38,57,Ingeniería,Hombre,Regular
Falda,Dama,Rojo,Casual,Marca C,803.66,45,35,25,Medicina,HombreMujer,Regular
Pantalón,Caballero,Negro,Deportivo,Marca A,1148.03,31,1,36,Artes,HombreMujer,Buena
Camisa,Dama,Negro,Formal,Marca A,783.33,36,16,19,Artes,Mujer,Regular
Chaqueta,Caballero,Negro,Deportivo,Marca C,1643.42,46,35,65,Educación,Hombre,Regular
Camisa,Dama,Verde,Casual,Marca A,810.74,41,37,26,Ciencias Sociales y Humanidades,Hombre,Mala
Camisa,Caballero,Rojo,Casual,Marca B,938.01,34,14,51,Educación,Hombre,Buena
Camisa,Dama,Rojo,Formal,Marca C,1710.73,40,42,42,Ingeniería,HombreMujer,Mala
Camisa,Caballero,Blanco,Casual,Marca B,1803.51,41,16,50,Artes,Hombre,Regular
Otros,Caballero,Amarillo,Formal,Marca B,1162.29,29,39,68,Ingeniería,Hombre,Mala
Otros,Caballero,Rojo,Deportivo,Marca A,939.9,40,5,46,Educación,HombreMujer,Mala
Chaqueta,Dama,Blanco,Deportivo,Marca A,1010.6,43,7,18,Educación,Hombre,Mala
Otros,Caballero,Verde,Deportivo,Marca A,1666.85,29,50,50,Ingeniería,Hombre,Mala
Otros,Dama,Blanco,Deportivo,Marca A,711.52,33,12,28,Medicina,Hombre,Buena
Falda,Caballero,Negro,Formal,Marca A,1840.04,34,46,57,Ciencias Sociales y Humanidades,Hombre,Buena
Otros,Caballero,Rojo,Deportivo,Marca A,522.1,38,7,24,Ingeniería,HombreMujer,Buena
Camisa,Dama,Azul,Deportivo,Marca A,1239.66,37,12,67,Ingeniería,Mujer,Buena
Pantalón,Dama,Rojo,Formal,Marca B,1275.24,30,2,70,Medicina,Hombre,Regular
Chaqueta,Caballero,Amarillo,Casual,Marca D,1152.68,29,15,46,Ciencias Sociales y Humanidades,Hombre,Regular
Otros,Dama,Verde,Formal,Marca C,1208.71,37,25,31,Ingeniería,Mujer,Buena
Falda,Dama,Negro,Deportivo,Marca B,1687.88,36,43,53,Educación,Mujer,Regular
Pantalón,Dama,Amarillo,Casual,Marca A,973.47,44,47,20,Ciencias Sociales y Humanidades,Mujer,Mala
Vestido,Dama,Azul,Deportivo,Marca B,1661.28,40,47,42,Artes,Hombre,Mala
Falda,Caballero,Rojo,Formal,Marca D,1928.09,38,49,39,Educación,Hombre,Mala
Vestido,Dama,Amarillo,Formal,Marca D,1833.09,43,11,37,Educación,HombreMujer,Regular
Falda,Dama,Amarillo,Formal,Marca B,1118.38,32,7,36,Medicina,HombreMujer,Mala
Falda,Dama,Verde,Deportivo,Marca C,1717.56,44,4,27,Educación,Mujer,Regular
Chaqueta,Caballero,Blanco,Casual,Marca D,1366.3,35,27,57,Educación,Hombre,Regular
Pantalón,Caballero,Azul,Formal,Marca D,742.42,45,19,68,Educación,HombreMujer,Regular
Pantalón,Caballero,Negro,Casual,Marca A,1065.8,39,2,61,Ingeniería,Hombre,Mala
Otros,Caballero,Negro,Deportivo,Marca A,1952.36,38,21,20,Ciencias Sociales y Humanidades,HombreMujer,Regular
Falda,Dama,Amarillo,Formal,Marca C,938.2,43,35,39,Ciencias Sociales y Humanidades,HombreMujer,Buena
Vestido,Dama,Amarillo,Deportivo,Marca D,1745.16,42,40,42,Medicina,Hombre,Regular
Chaqueta,Dama,Amarillo,Casual,Marca D,610.96,29,24,29,Ingeniería,HombreMujer,Regular
Otros,Dama,Amarillo,Casual,Marca C,1415.51,28,4,28,Educación,Mujer,Mala
Otros,Dama,Negro,Casual,Marca B,1393.97,42,3,50,Ciencias Sociales y Humanidades,HombreMujer,Regular
Falda,Dama,Verde,Casual,Marca C,1490.93,34,30,23,Educación,Mujer,Buena
Camisa,Dama,Amarillo,Casual,Marca C,1061.68,31,46,33,Artes,Hombre,Mala
Vestido,Caballero,Verde,Casual,Marca C,997.14,45,46,57,Ingeniería,HombreMujer,Regular
Falda,Dama,Azul,Deportivo,Marca D,1164.51,35,10,21,Ingeniería,Mujer,Buena
Camisa,Dama,Verde,Formal,Marca A,1847.14,32,39,54,Medicina,Hombre,Mala
Vestido,Caballero,Azul,Casual,Marca D,557.31,28,25,34,Medicina,Hombre,Buena
Otros,Dama,Rojo,Deportivo,Marca D,968.99,37,10,55,Medicina,Hombre,Buena
Vestido,Caballero,Verde,Casual,Marca A,1853.27,38,13,59,Medicina,Hombre,Buena
Chaqueta,Dama,Verde,Deportivo,Marca D,801.66,28,9,35,Educación,Mujer,Buena
Chaqueta,Dama,Negro,Deportivo,Marca B,1034.14,33,31,33,Educación,Hombre,Mala
Pantalón,Dama,Blanco,Casual,Marca A,1523.59,31,30,50,Educación,Hombre,Buena
Camisa,Dama,Amarillo,Formal,Marca A,688.1,34,50,33,Ingeniería,Hombre,Regular
Pantalón,Caballero,Rojo,Deportivo,Marca B,738.61,28,3,50,Ciencias Sociales y Humanidades,Hombre,Regular
Vestido,Caballero,Amarillo,Deportivo,Marca B,1527.06,29,43,26,Artes,HombreMujer,Mala
Otros,Caballero,Verde,Casual,Marca D,868.85,40,22,59,Educación,Mujer,Regular
Pantalón,Dama,Blanco,Deportivo,Marca D,1524.12,37,22,45,Ciencias Sociales y Humanidades,Mujer,Regular
Pantalón,Dama,Amarillo,Deportivo,Marca C,680.06,44,3,22,Artes,Mujer,Buena
Otros,Dama,Rojo,Deportivo,Marca B,1650.23,34,47,60,Medicina,HombreMujer,Regular
Pantalón,Caballero,Amarillo,Formal,Marca D,1417.08,39,2,60,Artes,HombreMujer,Buena
Chaqueta,Dama,Negro,Formal,Marca D,994.77,42,19,36,Artes,Hombre,Regular
Chaqueta,Dama,Negro,Casual,Marca B,1649.48,45,30,69,Educación,Mujer,Regular
