fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
2018-01-01,65.0,1247.0,41.0,0,295.0,87.0,353.0,51.0,38.0
2018-01-02,58.0,1303.0,37.0,0,1595.0,65.0,227.0,45.0,29.0
2018-01-03,50.0,1287.0,135.0,1,895.0,33.0,149.0,52.0,21.0
2018-01-04,49.0,1154.0,100.0,1,1812.0,10.0,458.0,3.0,23.0
2018-01-05,57.0,1303.0,86.0,0,1653.0,84.0,341.0,55.0,32.0
2018-01-06,63.0,1221.0,63.0,1,571.0,56.0,178.0,61.0,25.0
2018-01-07,35.0,1324.0,142.0,0,495.0,37.0,191.0,123.0,25.0
2018-01-08,43.0,1270.0,59.0,0,1174.0,56.0,157.0,45.0,17.0
2018-01-09,59.0,1182.0,91.0,1,1043.0,30.0,92.0,44.0,31.0
2018-01-10,56.0,1277.0,113.0,0,1202.0,90.0,378.0,30.0,36.0
2018-01-11,60.0,1160.0,71.0,1,1585.0,55.0,465.0,72.0,15.0
2018-01-12,67.0,1160.0,134.0,0,1971.0,19.0,198.0,59.0,38.0
2018-01-13,42.0,1190.0,110.0,0,2044.0,70.0,276.0,92.0,7.0
2018-01-14,54.0,1241.0,41.0,0,1504.0,18.0,90.0,64.0,19.0
2018-01-15,63.0,1220.0,119.0,0,1335.0,92.0,320.0,59.0,32.0
2018-01-16,55.0,1277.0,55.0,1,1238.0,88.0,140.0,37.0,24.0
2018-01-17,50.0,1312.0,127.0,0,264.0,35.0,37.0,60.0,32.0
2018-01-18,54.0,1334.0,55.0,1,847.0,57.0,56.0,56.0,16.0
2018-01-19,56.0,1263.0,118.0,1,2044.0,83.0,423.0,38.0,38.0
2018-01-20,47.0,1299.0,84.0,1,822.0,7.0,261.0,64.0,28.0
2018-01-21,57.0,1327.0,77.0,1,1867.0,20.0,458.0,110.0,30.0
2018-01-22,66.0,1300.0,132.0,0,2055.0,98.0,201.0,46.0,35.0
2018-01-23,43.0,1185.0,145.0,0,1025.0,93.0,303.0,75.0,29.0
2018-01-24,46.0,1211.0,69.0,0,1323.0,38.0,405.0,47.0,24.0
2018-01-25,57.0,1258.0,71.0,0,439.0,18.0,35.0,46.0,25.0
